mva_cut value,signal count,error,zll count,unweighted count,error,mc weight,error,combined error,formatted error, enu count,unweighted count, error, mc weight,error,combined error,formatted error,munu count,unweighted count,error, mc weight,error,combined error,formatted error,taunu count,unweighted count, error,mc weight,error,combined error,formatted error,top count,error,mc weight,error,combined error,formatted error,VV count, error, mc weight, error,combined error,formatted error,znunu count,unweighted count,error,mc weight,error,combined error,formatted error,qcd count,error, mc weight, error,combined error,formatted error,data,,,,,,,,,
0,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,464.3992745,634.032,25.17999206,0.732454,0.052055,37.80807436,1.081412863,255.8474382,795.454,28.20379407,0.321637,0.0135035,14.05944372,1.054952451,608.43,608.43,24.66637387,1.24371,0.139661,90.34212331,1.148484005,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.413577,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3433,,,,,,,,,
0.01,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,464.3992745,634.032,25.17999206,0.732454,0.052055,37.80807436,1.081412863,255.8474382,795.454,28.20379407,0.321637,0.0135035,14.05944372,1.054952451,608.43,608.43,24.66637387,1.24371,0.139661,90.34212331,1.148484005,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.413577,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3433,,,,,,,,,
0.02,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,464.3992745,634.032,25.17999206,0.732454,0.052055,37.80807436,1.081412863,255.8474382,795.454,28.20379407,0.321637,0.0135035,14.05944372,1.054952451,608.43,608.43,24.66637387,1.24371,0.139661,90.34212331,1.148484005,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.413577,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3432,,,,,,,,,
0.03,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,464.3992745,634.032,25.17999206,0.732454,0.052055,37.80807436,1.081412863,255.8474382,795.454,28.20379407,0.321637,0.0135035,14.05944372,1.054952451,608.43,608.43,24.66637387,1.24392,0.139691,90.36105059,1.148515114,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.413577,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3431,,,,,,,,,
0.04,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,464.1304639,633.665,25.17270347,0.732454,0.052055,37.78879346,1.081418473,255.8474382,795.454,28.20379407,0.321637,0.0135035,14.05944372,1.054952451,608.43,608.43,24.66637387,1.24398,0.139699,90.36613137,1.148523464,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.413628,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3431,,,,,,,,,
0.05,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,464.334504,633.665,25.17270347,0.732776,0.0520822,37.8077932,1.081423614,255.802741,795.184,28.19900707,0.32169,0.0135059,14.05808719,1.05495675,608.132,608.132,24.66033252,1.2448,0.139727,90.34730727,1.148565291,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.41364,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3431,,,,,,,,,
0.06,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,463.6991872,632.798,25.15547654,0.732776,0.0520822,37.76221965,1.08143689,255.8887557,795.093,28.1973935,0.321835,0.0135125,14.06346052,1.054959275,608.132,608.132,24.66033252,1.23883,0.139284,90.04392255,1.148066411,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.413772,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3431,,,,,,,,,
0.07,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,463.6991872,632.798,25.15547654,0.732776,0.0520822,37.76221965,1.08143689,255.8806526,795.053,28.1966842,0.321841,0.0135128,14.06319169,1.054959965,607.795,607.795,24.65349874,1.2392,0.139335,90.02914965,1.148124202,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.413929,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3429,,,,,,,,,
0.08,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,463.6420307,632.72,25.15392613,0.732776,0.0520822,37.75811955,1.081438086,255.6559381,794.955,28.19494636,0.321598,0.0135095,14.05539427,1.054977774,607.656,607.656,24.6506795,1.23008,0.138827,89.64314405,1.147522849,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.414033,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3427,,,,,,,,,
0.09,793.177,0,23.66296902,25.9164,5.090815259,0.91305,0.0404855,4.765120682,1.20137459,463.5532586,632.579,25.15112324,0.732799,0.0520842,37.75209438,1.081440684,255.2706729,794.335,28.18394933,0.321364,0.0135067,14.04075888,1.055003415,607.248,607.248,24.64240248,1.23279,0.139204,89.82442455,1.147920495,3.54795,1.883600276,1,0,1.883600276,1.530898202,79.7368,8.929546461,1,0,8.929546461,1.111987771,2094.37,,230.54,0.414209,230.54,230.54,1.110076061,72.7025,8.526576101,1,0,8.526576101,1.11728037,3426,,,,,,,,,
