MC weights file
mva_cut value,signal count,error,zll count,error,mc weight,error, enu count, error, mc weight,error,munu count,error, mc weight,error,taunu count, error,mc weight,error,top count,error,mc weight,error,VV count, error, mc weight, error,znunu count,error,mc weight,error,qcd count,error, mc weight, error

output>0,793.177,0,8.69071,,0.335336,0.0404855,470.94,,0.74277,0.0521458,298.464,,0.375195,0.0133411,759.74,,1.24869,0.139819,3.54795,,1,0,79.7368,,1,0,779.645,,0.625733,0.228783,72.7025,,1,0
output>0.01,793.177,0,8.69071,,0.335336,0.0404855,470.94,,0.74277,0.0521458,298.464,,0.375195,0.0133411,759.74,,1.24869,0.139819,3.54795,,1,0,79.7368,,1,0,779.645,,0.625733,0.228783,72.7025,,1,0
output>0.02,793.177,0,8.69071,,0.335336,0.0404855,470.94,,0.74277,0.0521458,298.464,,0.375195,0.0133411,759.74,,1.24869,0.139819,3.54795,,1,0,79.7368,,1,0,779.645,,0.625733,0.228783,72.7025,,1,0
output>0.03,793.177,0,8.69071,,0.335336,0.0404855,470.94,,0.74277,0.0521458,298.464,,0.375195,0.0133411,759.74,,1.24869,0.139819,3.54795,,1,0,79.7368,,1,0,779.645,,0.625733,0.228783,72.7025,,1,0
output>0.04,793.177,0,8.69071,,0.335336,0.0404855,470.94,,0.74277,0.0521458,298.464,,0.375195,0.0133411,759.74,,1.24869,0.139819,3.54795,,1,0,79.7368,,1,0,779.645,,0.625733,0.228783,72.7025,,1,0
output>0.05,791.197,0,9.23148,,0.361466,0.0443829,425.893,,0.691308,0.0535249,282.792,,0.364685,0.0133703,544.002,,0.919278,0.160989,3.37867,,1,0,79.017,,1,0,740.743,,0.61262,0.250808,70.1094,,1,0
output>0.06,787.14,0,8.8256,,0.361338,0.044873,398.775,,0.671258,0.0551018,269.514,,0.358597,0.0135054,504.883,,0.883933,0.18541,2.92154,,1,0,77.4602,,1,0,699.451,,0.599125,0.253577,67.7564,,1,0
output>0.07,783.891,0,8.56334,,0.366552,0.0454454,376.063,,0.655842,0.0569462,256.26,,0.352967,0.0135175,530.116,,0.959794,0.212419,2.86011,,1,0,72.1645,,1,0,674.327,,0.600501,0.256812,66.2893,,1,0
output>0.08,776.961,0,8.15503,,0.354527,0.0452313,363.734,,0.654671,0.0590342,246.794,,0.350738,0.0136289,464.944,,0.873149,0.213703,2.86011,,1,0,70.9143,,1,0,614.147,,0.565796,0.255602,61.2509,,1,0
output>0.09,774.122,0,8.22648,,0.365618,0.0468771,340.74,,0.641657,0.0602336,235.526,,0.349164,0.0137398,425.524,,0.819653,0.221135,2.42489,,1,0,68.7816,,1,0,589.824,,0.56077,0.264903,59.5515,,1,0
output>0.1,768.91,0,7.76501,,0.357054,0.0465846,334.348,,0.642971,0.0621251,224.311,,0.341523,0.0137673,419.131,,0.825054,0.236404,2.37242,,1,0,66.5348,,1,0,551.332,,0.540156,0.26325,57.939,,1,0
output>0.11,761.656,0,7.29872,,0.341957,0.0456796,316.133,,0.625776,0.0627092,217.274,,0.339388,0.0139114,393.131,,0.795097,0.243564,2.37242,,1,0,64.4149,,1,0,508.639,,0.51267,0.258136,56.4568,,1,0
output>0.12,755.743,0,7.11512,,0.336809,0.0455023,294.793,,0.60636,0.0632544,204.222,,0.33232,0.0138769,422.888,,0.882883,0.274103,2.37242,,1,0,59.6427,,1,0,479.242,,0.499578,0.257133,55.7931,,1,0
